key,status,source_url,source_locator,cited_claim,reviewer,checked_on,bib_sha256,manuscript_sha256
Stacks,verified,https://stacks.math.columbia.edu/tag/0013; https://stacks.math.columbia.edu/tag/0006; https://stacks.math.columbia.edu/tag/00AQ; https://stacks.math.columbia.edu/tag/0013/cite; https://stacks.math.columbia.edu/tag/00YW; https://stacks.math.columbia.edu/tag/00ZG; https://stacks.math.columbia.edu/tag/01HR; https://stacks.math.columbia.edu/tag/01JA; https://stacks.math.columbia.edu/tag/01HP; https://stacks.math.columbia.edu/tag/03AG; https://stacks.math.columbia.edu/tag/09UY; https://stacks.math.columbia.edu/tag/02XJ; https://stacks.math.columbia.edu/tag/02C3,"Categories 4.2: Definitions 4.2.1, 4.2.4 (and following paragraph), 4.2.8, 4.2.9, 4.2.15, 4.2.17; Conventions 2.4; Commutative Algebra 10.2; ja/03-preliminaries-and-notation.md P.2-P.4; Sites and Sheaves 7.47: Definitions 7.47.1, 7.47.6, 7.47.10 and Lemma 7.47.9; 7.49: Theorem 7.49.3 and Proposition 7.49.5; ja/04-relative-architecture.md 1.5-1.6; Schemes 26.5: Definitions 26.5.3, 26.5.5 and Lemma 26.5.4; 26.14: Lemmas 26.14.1-26.14.2; Lemma 26.4.6; Cohomology on Sites 21.4: Definition 21.4.1 and Lemma 21.4.2; ja/05-law-geometry.md 2.2 and 2.5; Cohomology of Sheaves 20.15, opening construction of the refinement cochain map; ja/06-resolution-invariance.md 3.4 and 3.11; Categories 4.33: Definitions 4.33.1, 4.33.5-4.33.6, Lemmas 4.33.2 and 4.33.7; ja/07-transport-coherence.md 4.1 and 4.4; ja/08-base-change.md 5.2; Categories 4.2, Lemma 4.2.19 (Tag 02C3); Related Work R.2, R.4 and R.6; ja/11-local-reconstruction.md Theorem 8.12",圏・同型（逆射の一意性を含む）・関手・自然変換・充満忠実性・本質的全射性・圏同値の定義、可換単位環・零環・単位的加群の規約。公式 cite ページで著者・題名・年・URLを確認。 第1章では sieve・Grothendieck topology・層・層化の標準的な定義と構成を引用し、原稿内に構成・証明を記述。 第2章では素スペクトルと局所化、スキームの貼り合わせ、閉部分スキームへの因子化、切断によるtorsorの自明化を照合。固定被覆の障害類と状態の貼り合わせの同値は原稿内で証明。レビュー修正では二回の商の役割とtorsorの基準選択の説明を補い、Tags 01HP・03AGと再照合。 第3章では、被覆の細分に沿う制限からČech cochain写像を作る標準構成を照合し、選定被覆での具体的な比較と指定類の対応は原稿内で証明。 第4章では強いcartesian射の普遍性、合成と一意な比較、選択した輸送の関手と単位・合成比較を照合。その双対を用いることを明記し、必要な証明を原稿内に記述。 第5章では強いcartesian射、引き戻しの選択と関手、合成比較を原典と照合。AATのliftと随伴同値、Beck–Chevalley mateの可逆性は実際の再添字づけから原稿内で証明。 Related Workではtorsorの切断による自明化、fibred categoryの輸送、充満忠実かつ本質的全射な関手による圏同値判定を標準事実として帰属させた。追加のTag 02C3は本文と証明を照合した。 第8章では、充満忠実かつ本質的全射な関手が圏同値を与える標準的な特徴づけを公式Tag 02C3で確認。対象・射の組立てと分離から仮定を証明し、逆関手を原稿内に構成。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
FGMPS04,verified,https://www.cis.upenn.edu/~bcpierce/papers/newlenses-full.pdf,"Title page; section 3.1, Definitions 3.1.2-3.1.3 and PutPut discussion, printed pp. 5-6; ja/04-relative-architecture.md Definition 1.32; Related Work R.5",全域 lens の三法則が原典の total very well-behaved lens に対応することを確認。更新は原典の引数順を状態・viewの順に書き換えた。著者5名・題名・技術報告番号・所属・日付を著者公開版の表紙で確認。 Related Workでは同じ版のtotal very well-behaved lensの三法則を引用し、積表示の既存研究と、本稿での局所graph・対象・全意味保存射の組立てとの関係を述べた。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Spivak12,verified,https://arxiv.org/abs/1009.1166; https://arxiv.org/pdf/1009.1166v3,"arXiv submission history and v3 title page; sections 3.2, 3.4-3.5, Definitions 3.2.1, 3.2.4, 3.2.6, 3.2.8, 3.5.1 and Construction 3.4.2; ja/04-relative-architecture.md 1.9; Sections 4.1-4.3, Propositions 4.2.1 and 4.3.1; Related Work R.4",有向グラフ・経路合同からの圏の表示、集合値関手による実現、自然変換による射の標準構成。原稿の有限性条件と観測先関手を固定する構成は原稿内の定義による。Related Workではschemaの関手に沿う制限と左右随伴を比較する。右随伴には値の圏の完備性、左随伴には余完備性を用い、引用対象は集合値の場合である。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
SAGA,verified,https://arxiv.org/abs/2608.21458; https://arxiv.org/html/2608.21458v1,"arXiv submission history and v1 title; sections 3.4-3.7, 4-5, especially Theorems 5.1 and 5.2, sections 5.3-5.6, Example 5.3; ja/05-law-geometry.md overview and 2.9-2.10; Related Work R.2",修復語と方程式から独立に作る係数、局所状態の同変な対応から導く関係の健全性、完全性による係数同型、微分との可換性、独立なatlasの残差類の対応、実際の修復状態の層条件による大域的修復を原典と照合。偶奇表示の例を四chart被覆上で構成して検算。著者・題名・arXiv識別子・第1版の日付を公式書誌で確認。 Related Workでは独立に生成した係数、局所状態からの関係式の健全性、二つの完全性条件、cochainと残差類の比較、修復状態の層条件を原典に帰属させた。第2章で継承する結果と第3章以降で展開する結果を分けた。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
GB92,verified,https://cseweb.ucsd.edu/~goguen/projs/sem.html; https://doi.org/10.1145/147508.147524; https://courses.grainger.illinois.edu/cs522/sp2016/InstitutionsAbstractModelTheory.pdf,"Published article, section 2.1, Definition 1, pp. 101-102; Theorem 11 and its consequence, p. 108; Related Work R.1",署名の圏、文の関手、モデルの反変な圏値関手、署名変更に関する充足条件。モデル間の射もinstitutionの入力に含まれる。署名の余極限から理論の余極限を構成する定理を、複数の論理に共通する仕様構成の基礎として位置づける。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
AG97,verified,https://doi.org/10.1145/258077.258078; https://ix.cs.uoregon.edu/~michal/Classes/f01/fsv/papers/Allen-Garlan.pdf,"Sections 8.1-8.2, Definition 8.1.2, Theorem 8.2.3; Related Work R.1",port・role・glueのCSPによる記述とport-role適合性。connectorが保守的かつdeadlock-freeであり、各roleに接続するportが適合するとき、それらのportで具体化したconnectorもdeadlock-freeである。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Goguen92,verified,https://doi.org/10.1017/S0960129500001420; https://ncatlab.org/nlab/files/Goguen-SheafSemantics.pdf,"Publisher bibliographic record; public manuscript sections 2 and 3.1-3.3, especially Proposition 26; Related Work R.2",掲載誌・年・巻号・頁を出版社書誌で確認。公開された原稿の層としてのオブジェクト、相互作用の図式、振舞いの極限を照合した。極限の記述には値の圏の完備性を保持し、箇所番号が公開稿によることを明記した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Gibson26,verified,https://arxiv.org/abs/2605.08609; https://arxiv.org/html/2605.08609v1,"arXiv metadata and v1; sections 3-5, Definition 3.2 and Theorem 4.1; Related Work R.2",著者・題名・識別子・第1版の日付を公式書誌で確認。パラメータごとの値の積と射影によるdesign presheaf、pairwise intersectionsによる層条件、複数viewの例を本文で確認。引用はこの構成に限定し、報告されたLean利用の独立検証は行っていない。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
AB11,verified,https://arxiv.org/abs/1102.0264; https://arxiv.org/pdf/1102.0264v7,arXiv metadata and v7; sections 2.2-2.5 and Theorem 8.1; Related Work R.2,著者・題名・識別子・第7版の日付を確認。測定context、event sheaf、分布の前層、empirical modelを区別し、大域的分布による延長とfactorizable hidden-variable modelの対応を定理8.1で照合した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
AMB12,verified,https://arxiv.org/abs/1111.3620v2; https://arxiv.org/pdf/1111.3620v2,"arXiv metadata and v2; section 4, Propositions 4.2-4.3, and section 5 (Hardy model); Related Work R.2",著者・題名・識別子・第2版の日付を確認。supportを自由可換群で線形化した前層と障害類、非零性による延長不能性、零性が与える線形化後の整合族を照合した。Hardy modelの例を読み、零性を実際の結果の割当ての延長と同一視しない引用にした。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
